GVKEY,LPERMNO,iid,datadate,trt1m,conml
002817,18542,01,2010/07/31,16.8470,Caterpillar Inc
002817,18542,01,2010/08/31,-6.5806,Caterpillar Inc
002817,18542,01,2010/09/30,20.7489,Caterpillar Inc
002817,18542,01,2010/10/31,0.4575,Caterpillar Inc
002817,18542,01,2010/11/30,7.6336,Caterpillar Inc
002817,18542,01,2010/12/31,10.7092,Caterpillar Inc
002817,18542,01,2011/01/31,4.0466,Caterpillar Inc
002817,18542,01,2011/02/28,6.1025,Caterpillar Inc
002817,18542,01,2011/03/31,8.1803,Caterpillar Inc
002817,18542,01,2011/04/30,4.0413,Caterpillar Inc
002817,18542,01,2011/05/31,-8.3268,Caterpillar Inc
002817,18542,01,2011/06/30,0.6238,Caterpillar Inc
002817,18542,01,2011/07/31,-6.7725,Caterpillar Inc
002817,18542,01,2011/08/31,-7.8854,Caterpillar Inc
002817,18542,01,2011/09/30,-18.8571,Caterpillar Inc
002817,18542,01,2011/10/31,28.5482,Caterpillar Inc
002817,18542,01,2011/11/30,3.6206,Caterpillar Inc
002817,18542,01,2011/12/31,-7.4377,Caterpillar Inc
002817,18542,01,2012/01/31,20.9492,Caterpillar Inc
002817,18542,01,2012/02/29,4.6646,Caterpillar Inc
002817,18542,01,2012/03/31,-6.7332,Caterpillar Inc
002817,18542,01,2012/04/30,-3.0886,Caterpillar Inc
002817,18542,01,2012/05/31,-14.7417,Caterpillar Inc
002817,18542,01,2012/06/30,-3.0929,Caterpillar Inc
002817,18542,01,2012/07/31,-0.2120,Caterpillar Inc
002817,18542,01,2012/08/31,1.3300,Caterpillar Inc
002817,18542,01,2012/09/30,0.8321,Caterpillar Inc
002817,18542,01,2012/10/31,-0.8252,Caterpillar Inc
002817,18542,01,2012/11/30,0.5070,Caterpillar Inc
002817,18542,01,2012/12/31,5.7350,Caterpillar Inc
002817,18542,01,2013/01/31,9.7999,Caterpillar Inc
002817,18542,01,2013/02/28,-6.1185,Caterpillar Inc
002817,18542,01,2013/03/31,-5.8461,Caterpillar Inc
002817,18542,01,2013/04/30,-2.0467,Caterpillar Inc
002817,18542,01,2013/05/31,1.3346,Caterpillar Inc
002817,18542,01,2013/06/30,-3.8578,Caterpillar Inc
002817,18542,01,2013/07/31,1.2365,Caterpillar Inc
002817,18542,01,2013/08/31,-0.4463,Caterpillar Inc
002817,18542,01,2013/09/30,1.0419,Caterpillar Inc
002817,18542,01,2013/10/31,0.6715,Caterpillar Inc
002817,18542,01,2013/11/30,1.4875,Caterpillar Inc
002817,18542,01,2013/12/31,7.3404,Caterpillar Inc
002817,18542,01,2014/01/31,4.0744,Caterpillar Inc
002817,18542,01,2014/02/28,3.2584,Caterpillar Inc
002817,18542,01,2014/03/31,2.4750,Caterpillar Inc
002817,18542,01,2014/04/30,6.6720,Caterpillar Inc
002817,18542,01,2014/05/31,-3.0076,Caterpillar Inc
002817,18542,01,2014/06/30,6.2995,Caterpillar Inc
002817,18542,01,2014/07/31,-6.6440,Caterpillar Inc
002817,18542,01,2014/08/31,8.2581,Caterpillar Inc
002817,18542,01,2014/09/30,-9.2051,Caterpillar Inc
002817,18542,01,2014/10/31,3.1102,Caterpillar Inc
002817,18542,01,2014/11/30,-0.7987,Caterpillar Inc
